Stkcd	Accper	Typrep	Indcd	F070101B	F070201B
000008	2012-06-30	A	F51	-8.456958	-.805442
000008	2012-03-31	A	F51	5.386575	1.000000
000008	2011-12-31	A	F51	2.505352	-.191027
000008	2011-09-30	A	F51	1.126362	1.000000
000008	2011-06-30	A	F51	1.115691	-1.094724
000008	2011-03-31	A	F51	1.090002	1.000000
000008	2010-12-31	A	F51	.051630	28.202336
000008	2010-09-30	A	F51	.140288	1.000000
000008	2010-06-30	A	I64	-1.964080	-17.671374
000008	2010-03-31	A	I64	1.502415	1.000000
000008	2009-12-31	A	I64	.751932	6.461383
000008	2009-09-30	A	I64	1.739826	1.000000
000008	2009-06-30	A	I64	1.100626	-1.247813
000008	2009-03-31	A	I64	1.131827	1.000000
000008	2008-12-31	A	I64	.705183	3.167029
000008	2008-09-30	A	I64	.870802	1.000000
000008	2008-06-30	A	I64	.906999	4.243322
000008	2008-03-31	A	I64	.967019	1.000000
000008	2007-12-31	A	I64	.982538	1.760549
000008	2007-09-30	A	I64	.987382	1.000000
000008	2007-06-30	A	I64	.977621	1.000000
000008	2007-03-31	A	I64	.980733	1.000000
000008	2006-12-31	A	I64	1.043288	.051492
000008	2006-09-30	A	I64	1.059020	-.969353
000008	2006-06-30	A	I64	1.067619	-.799405
000008	2006-03-31	A	I64	1.070640	-3.154652
000008	2005-12-31	A	I64	1.005683	.516241
000008	2005-09-30	A	I64	.975574	.510809
000008	2005-06-30	A	I64	1.207014	3.026462
000008	2005-03-31	A	I64	1.164885	1.647564
000008	2004-12-31	A	I64	1.007129	1.054057
000008	2004-09-30	A	I64	1.303485	2.774121
000008	2004-06-30	A	I64	1.490866	3.568192
000008	2004-03-31	A	I64	1.528463	3.722726
000009	2014-09-30	A	S90	1.323796	1.000000
000009	2014-06-30	A	S90	1.299517	1.170453
000009	2014-03-31	A	S90	1.325288	1.000000
000009	2013-12-31	A	S90	1.422824	1.209484
000009	2013-09-30	A	S90	1.302898	1.000000
000009	2013-06-30	A	S90	1.503428	1.222618
000009	2013-03-31	A	S90	1.476432	1.000000
000009	2012-12-31	A	S90	1.619192	1.200494
000009	2012-09-30	A	S90	1.715802	1.000000
000009	2012-06-30	A	S90	1.527077	1.175985
000009	2012-03-31	A	S90	1.425000	1.000000
000009	2011-12-31	A	S90	1.247763	1.161500
000009	2011-09-30	A	S90	1.197781	1.000000
000009	2011-06-30	A	S90	1.137462	1.113140
000009	2011-03-31	A	S90	1.136537	1.000000
000009	2010-12-31	A	S90	1.195288	1.150739
000009	2010-09-30	A	S90	1.184646	1.000000
000009	2010-06-30	A	S90	1.170098	1.097962
000009	2010-03-31	A	S90	1.161515	1.000000
000009	2009-12-31	A	S90	1.230581	1.122463
000009	2009-09-30	A	S90	1.242774	1.000000
000009	2009-06-30	A	S90	1.176807	1.090674
000009	2009-03-31	A	S90	1.226358	1.000000
000009	2008-12-31	A	S90	1.191703	1.145797
000009	2008-09-30	A	S90	1.253756	1.000000
000009	2008-06-30	A	S90	1.294332	1.119345
000009	2008-03-31	A	S90	1.260229	1.000000
000009	2007-12-31	A	S90	1.288609	1.137804
000009	2007-09-30	A	S90	1.322635	1.000000
000009	2007-06-30	A	S90	1.298924	1.118672
000009	2007-03-31	A	S90	1.257970	1.000000
000009	2006-12-31	A	S90	1.558413	1.252425
000009	2006-09-30	A	S90	1.810788	1.287510
000009	2006-06-30	A	S90	1.713909	1.270460
000009	2006-03-31	A	S90	1.635861	1.328990
000009	2005-12-31	A	S90	1.576514	1.148385
000009	2005-09-30	A	S90	2.173569	1.337580
000009	2005-06-30	A	S90	2.063797	1.296059
000009	2005-03-31	A	S90	2.289044	1.247253
000009	2004-12-31	A	S90	2.241220	1.299033
000009	2004-09-30	A	S90	2.376548	1.000000
000009	2004-06-30	A	S90	2.042861	1.288379
000009	2004-03-31	A	S90	2.486492	1.000000
000010	2014-09-30	A	C35	1.443299	1.000000
000010	2014-06-30	A	C35	1.585652	.642617
000010	2014-03-31	A	C35	1.293966	1.000000
000010	2013-12-31	A	C35	.639963	2.042016
000010	2013-09-30	A	C35	.970931	1.000000
000010	2013-06-30	A	C35	1.120026	1.373107
000010	2013-03-31	A	C35	.943828	1.000000
000010	2012-12-31	A	C35	1.389478	1.910974
000010	2012-09-30	A	C35	.844744	1.000000
000010	2012-06-30	A	C35	.779595	.261566
000010	2012-03-31	A	C35	.877101	1.000000
000010	2011-12-31	A	C35	1.121914	1.284805
000010	2011-09-30	A	C35	1.358708	1.000000
000010	2011-06-30	A	C35	.928525	.942695
000010	2011-03-31	A	C35	.957349	1.000000
