Stkcd	Accper	C001000000
000014	2007-09-30	-145037559.60
000014	2007-06-30	-70076937.13
000014	2007-03-31	-45401430.67
000014	2006-12-31	-223984534.29
000014	2006-09-30	-181402654.15
000014	2006-06-30	-168030029.70
000014	2006-03-31	-90743275.20
000014	2005-12-31	126597316.82
000014	2005-09-30	63556823.84
000014	2005-06-30	116677386.40
000014	2005-03-31	62341078.91
000014	2004-12-31	85196487.45
000014	2004-09-30	100262055.37
000014	2004-06-30	32592483.58
000014	2004-03-31	-17680655.83
000016	2014-09-30	954710313.21
000016	2014-06-30	1207928081.12
000016	2014-03-31	935058191.82
000016	2013-12-31	2283254200.89
000016	2013-01-01	-359244914.58
000016	2013-09-30	1835529172.30
000016	2013-06-30	2271690220.43
000016	2013-03-31	457336811.79
000016	2012-01-01	-1370486165.70
000016	2012-12-31	-359244914.58
000016	2012-09-30	855593232.53
000016	2012-06-30	1115585087.77
000016	2012-03-31	457733199.56
000016	2011-12-31	-1370486165.70
000016	2011-09-30	-794343250.37
000016	2011-06-30	5538058.12
000016	2011-03-31	143042023.14
000016	2010-12-31	-432799347.02
000016	2010-09-30	-289245256.22
000016	2010-06-30	-1968450.22
000016	2010-03-31	62308666.72
000016	2009-12-31	294103558.23
000016	2009-09-30	-54690811.58
000016	2009-06-30	99694380.71
000016	2009-03-31	802909498.66
000016	2008-12-31	362642078.29
000016	2008-09-30	-80079657.45
000016	2008-06-30	-42686785.79
000016	2008-03-31	-387373316.42
000016	2007-12-31	301215498.85
000016	2007-09-30	214446773.30
000016	2007-06-30	157640706.13
000016	2007-03-31	752654139.44
000016	2006-12-31	180581832.52
000016	2006-09-30	207941656.44
000016	2006-06-30	235545874.82
000016	2006-03-31	-51215200.25
000016	2005-12-31	-101374782.62
000016	2005-09-30	-55582851.09
000016	2005-06-30	-172455799.24
000016	2005-03-31	131078965.19
000016	2004-12-31	-373669766.48
000016	2004-09-30	-379052854.46
000016	2004-06-30	132026555.37
000016	2004-03-31	-68521536.89
000017	2014-09-30	3195660.61
000017	2014-06-30	2745840.89
